運命軸名,キーワードまとめ
情報・活動軸,情報・活動軸の時は、自ら良い情報をたくさんキャッチし、ビジネスなどに生かすといい時期です。ただし、その情報は偏った情報の可能性がありますので、早とちりして行動しないように気をつけましょう。冷静に情報を分析し行動すれば、運気アップです！
開業・営業軸,開業・営業軸はビジネスでも交友関係でもすべてが順調に運び、やる気のでる時期です。積極的な営業を行うことで、事業の拡大やキャリアアップが期待できます。独立したい人はこの時期が最適。冒険的で夢のある企画・事業が特にうまくいきますよ。
融通ナシ軸,融通ナシ軸は、人の意見を聞けないくらい自分自身のキャパシティが低下し、融通が利かなくなってしまう時期です。今は、現状維持を保つよう心掛け、目の前の仕事や勉強を確実にこなしましょう。新しい仕事は出来るだけ受けないように心がけて！
アイデア軸,アイディア軸の時は、発想力に恵まれ、次々と有益なアイデアを生み出すことができます。もし今まで頭の隅に眠らせていたアイデアがあれば、恐れることなく実行に移してください！発想力のスキルアップだけでなく、キャリアアップも望めます！
判断ミス軸,判断ミス軸の時は、外から来る情報に惑わされ、判断ミスを犯しやすい時期です。例えば、SNSやツイッターなどから得た曖昧な情報を過信しないように注意しましょう。特に契約事などの大切な書類は必ず何度も目を通し、慎重に物事を行うようにすれば大きな失敗は防げますよ。恋愛については相手の考える事、相手が言っていたことが自分で解釈して、間違って人に伝えてしまう可能性があります。なるべく相手と結論を出すようなことをしないようにしましょう。出会いには慎重に。
発明・有名軸,発明・有名軸は、４５年に１回の人生最大の幸運期となります。今までやりたかった事、夢だった事などを実現するなら今です！あなたのカリスマ性が輝く時ですので、事業の成功で有名になったり、斬新な企画で社内の評判になったりと、何かと注目されるでしょう！
情報人脈軸,情報人脈軸は、非常に有益な数多くの情報が入ってくる時期です。もたらされる情報はビジネスだけではなく、あなたの内面を磨いてくれたり、新しい価値観やあなたの成長を促す情報も多く手に入れられます。新しい交流の場に飛び出し、いろんな情報を得てくださいね。
一目ぼれ軸,一目ぼれ軸は、本能や欲求が強くなる時期です。異性との出会いにも恵まれ、突然の一目ぼれから大恋愛に発展するなど、トキメキが多い時期になるでしょう。またこの時期はお金の出入りも激しくなりますので、散財に注意しましょう！恋愛については今のあなたは恋愛やSEXに関して強い縁がある時期です。出会いにも恵まれ、突然の一目ぼれから大恋愛に発展するなどトキメキを感じる機会が多いでしょう。出会いの場には積極的に参加し、出会いを楽しんで下さい。しかし冷静な目で相手を見極める気持ちも忘れずに。結婚を考えるのなら、特に慎重に！金運についてはこの時期はお金の出入りも激しくなりますので、散財に注意しましょう！
自己投資軸,この時期に自分に投資した知識や経験は今後のあなたにとても役に立ちます。仕事運も向上し、キャリアアップや収入増加も望めそうです。この時期のあなたは、お金を使うことで、さらに運気アップ！株の投資もこの時期が吉。恋愛も玉の輿やリッチな人との出会いの可能性が高まります。恋愛については出会いの女神があなたに微笑んでいます。今は自分への投資を惜しまず、外面も内面も磨く努力を続けてください。異性は、輝くあなたをほっとくことができなくなり、複数の方から好意を寄せられるなど、嬉しい場面も期待できそうです。この時期は、玉の輿結婚のチャンスも高くなります！金運についてはこの時期のあなたは、お金を使うことで、さらに運気アップ！株の投資もこの時期が吉。この時期のあなたは、お金を使うことで、。また、よい商品との巡り合わせも期待できる時ですので、大きな買い物や自己投資には、思い切ってチャンレンジしてみましょう。
投資控え軸,この時期のあなたは経済面に関して漠然とした不安を抱え精神面が頑なになりやすくなります。特に金銭面ではその傾向が強く、財布の紐が固くなりがち。この時期は積極的な投資や無理な行動は控えましょう。気持ちの不安を解消するには、経験豊富な年長者のアドバイスを受けると良いですよ。恋愛については恋に恋愛に興味がなくなる、相手に対して距離感をとりたくなる時です。そして、自分で壁を作ってしまい相手と一線をおいてしまう可能性があります。出会いも、いつもよりクールなイメージに映り、素敵な出会いも逃してしまいそうです。恋愛よりも仕事にエネルギーがいくときですので、この時は仕事に専念しましょう。金運についてはこの時期のあなたは経済面に関して漠然とした不安を抱え精神面が頑なになりやすくなります。特に金銭面ではその傾向が強く、財布の紐が固くなりがち。この時期は積極的な投資や無理な行動は控えましょう。気持ちの不安を解消するには、経験豊富な年長者のアドバイスを受けると良いですよ。
ときめき軸,ときめき軸は、その名の通り、恋愛でときめきを感じやすい時期です。この時期に出会った人は、一生ドキドキする初恋のような結婚が約束できるかもしれません。しかし、心は八方美人になりがちですので、どこに焦点を置けばよいのかよく考えるようにしましょう！恋愛については心からトキめくことができる異性と出会えるチャンス到来です！とにかく出会いを増やすことで、恋愛運がアップしますから、積極的に人がたくさん集まる場所に参加してください。しかし、八方美人になりがちで、誰に集中したら良いのかわからなくなることがあるので注意が必要です。既に相手がいる人は新鮮な気持ちで楽しく付き合うことができるでしょう。
心不安軸,この時期は、なぜか心がむなしくなり、物足りなさを感じたり、やる気がおきなくなったりしてしまいがちです。仕事では小さなミスを繰り返さないよう注意しましょう。恋愛も、自分の愛に自信がなくなり、不安定になるため、友人に相談するなど一人で思い詰めないように注意しましょう。恋愛についてはあなた自身が恋愛に対して輝いていない時です。今は一時的に寂しい時なので、誰かに寄りかかりたい衝動にかられがちです。この時に出会った人とは慎重に見極めを！
欲情・臨時収入軸,この時期は、出会い運にもツキがあり、生涯忘れられないような出会いや濃密な恋を経験する可能性があります。精神的というよりは、ＳＥＸが合う異性と出会える可能性が高そうです。また、ギャンブルなど賭けごとでお金が入ったり、思いもよらない臨時収入があるような金運に縁があるでしょう。恋愛については気分が高揚するような危険の香りがする出会いがあるかもしれません。あなたの性的な魅力が増す時期なので、セクシーを意識して多くの異性に接してみて下さい。この時期に知り合った異性とは、生涯忘れられない濃密な恋を経験するチャンスです！金運については金銭運も好調です。とはいってもキャリアアップによる収入増ではなく、裏金やヘソクリなどに縁がありそうです。ギャンブルなど賭けごとでお金が入ったり、思いもよらない臨時収入があるような金運に縁があるでしょう。
スポンサー人脈軸,スポンサー人脈軸は、名の通り、出会いの宝庫です。会社の仲間、取引先、先輩の紹介で人脈を広げることで、将来的に有利な人脈が構築できます。またこの時期は、芸術に関わるアーティストや資産家との人脈が得られる暗示もあります。あなたに投資してくれるスポンサーとの縁も期待でそうです！恋愛については玉の輿の結婚につながる出会いのチャンスです！または頭がとても良い人と出会える時期でもあります。堅い会話も、相手の気持ちを揺すぶるアイテムになりますので、経済新聞などで情報収集を心がけると良いでしょう。友達の紹介やパーティーなどで知り合った人とまめに連絡をとって交流を深めるようにするとさらに運気アップ！金運についてはあなたに投資してくれるスポンサーとの縁も期待でそうです！
ミラクル軸,ミラクル軸は、何事にも挑戦すると良い時期です。ハイリスクで無謀かと思われる挑戦でも、機転のよさが磨かれるこの時期なら、やり遂げることができます。運気も絶好調ですので、今まであきらめていた夢や想いを実現するならこの時期です。ギャンブルなど一攫千金の金運もありますよ！恋愛についてはあなたの魅力が高まるときです。まさにモテ期の到来です！気になっている人がいれば、イチかバチかでアプローチしてもＯＫです。いつもの雰囲気とは違ったファッションで出会いの場に参加すると恋愛運が更にアップします。金運についてはギャンブルなど一攫千金の金運もありますよ！
清算軸,清算軸は、誰かとお別れがあったり、ふんぎりがつかず引きずってしまっている人脈や物事、習慣を捨てることができる時期です。よい転期を迎えるためにも、決断力や勇気を持つようにしましょう。また、病気にもなりやすいので、半年ほど前から検診をうけるようにすると良いでしょう。恋愛についてはこの人で本当にいいのかと不安が生じやすい時です。そしてそんなあなたの気持ちが相手に伝わってしまいやすくなります。また、この時期に出会った人は、運命の人ではなく、一時的なものとなる可能性がありますので、慎重に見極めることが大切です。
建て直し軸,建て直し軸は、あらゆる方面での、物事の建て直しに絶好の機会です。ビジネスでも行き詰ったプロジェクトの見直しや修復、また、社内の人間関係の立て直しに適した時期です。病気を治すのにもとてもいい時期ですので、気になるところがあれば、この時期に治療しましょう。
病気軸,病気軸は、まさに病気になりやすい時です。どことなく体調が優れないこの時期は、テンションも下がり、決断力や判断力も低下してしまいがち。この時期を乗り越えるには生活環境を健康的なものに整えることをおススメします。この軸の約半年前から健康チェックを怠らないように！
エネルギーパワー軸,エネルギーパワー軸は、他人を凌駕するパワーがめきめきと出る時期です！チャレンジ意欲も沸き起こり、仕事に、夢にと衝動のままに行動を起こし、忙しく活動してください！そして、その溢れんばかりのパワーを周りにも伝授してあげてください！しかし傲慢になりすぎないよう注意してね。
行動人脈軸,行動人脈軸は、数多くの人々と交流の機会があり、あなたの行動力が要となってくる時期です。特に、レジャーやスポーツなど趣味などが合う人や、積極的に行動するパワーに満ちた人との縁があるでしょう。この時期は何事も楽しんで活動することが運気アップです！恋愛については年下や元気な人と出会う可能性があります。そんな人と一緒にいると華やかな生活になり、無邪気で楽しくなります。ラフな気持ちで付き合いましょう。
移転・転職軸,移転・転職軸は、新しい場所へ移動することによって幸運を掴める時期です。転居であれば、よい物件が見つかったり、転職であれば、期待以上の評価を得られる可能性があります。仕事上では海外との縁がありそうです。この時期はさらに上へのステップに進むための足がかりを作ると運気アップです！金運については今期の金運は悪くはないのですが、あなたの中でお金に関する執着心が高まってくる時でもあります。締まり屋も過ぎると人望をなくす恐れもありますので、人との交流や自分への投資など必要最低限の費用の出し惜しみは避けましょう。
成功・発展軸,この時期は発展と成功のチャンスに恵まれる時期です。いま取り組んでいる仕事がうまく進んでない場合でも、あなたの発想力や順応性が高まっているので、思い切って企画の方向性を変え、大きく発展させると良いでしょう。プライベートでも新しい事にチャレンジするには絶好の時です！
誤診軸,誤診軸の時期は、判断や決定事項を誤ったり、人から騙されたりしやすい時期です。特に金銭上の契約や、高額の買い物、大きな投資などには、慎重になってください。病院の診断も誤った結果が出やすいのでセカンドオピニオンを求めると良いでしょう。この時期は何事も用心深く過ごすと吉です。恋愛についてはあなた自身が判断を誤りやすいときです。そして、自分に自信がなくなるため、魅力も半減してしまいます。一夜限りの恋もありますので、お酒など飲むときは要注意です。周りの人に相手をチェックしてもらいましょう。金運についてはこの時期のあなたは、金銭上のトラブルを抱えてしまったり、仕事でミスを連発したりと、公私共に、かなりの苦戦を強いられる時となりそうです。あなたの思惑がなにかと外れやすい時期でもあり、信頼していた人から騙されたり、自分には非がないのに誰かの尻拭いをさせられたりと、ストレスの溜まる期間になりそうです。
カリスマ・成功軸,カリスマ・成功軸の時は、大成功や大発展が期待できる人生最大の絶好期です。今までの努力が報われ、夢に一歩近づく時です。仕事では栄誉ある業績を残し、出世の可能性もあります。大きな夢や目的に向って計画を立てて、何事にもチャレンジすると運気アップ！
成功人脈軸,成功人脈軸は、今まで関わることが少なかった上位者や、成功者との出会いがある時期です。また、あなたの意見や生き方に賛同し、援護をしてくれる頼もしい友人や知人との出会いにも縁があります。この時期に掴んだ人脈は、一生の宝物になる可能性があるので、積極的に交流の場に参加しましょう！恋愛についてはあなたの仕事をサポートしてくれるスポンサーが現れやすいときです。そして、人生を共に歩けるような人との出会いがあります。しかし、恋愛に発展するには少し時間がかかりますのであせらずに！
圧迫軸,圧迫軸は、視野が狭くなりがちで柔軟な考えを持つことができず、頑固になりがちな時期です。また、周りの目が気になりプレッシャーを感じやすい時期です。健康面では、腫瘍ができやすい時期ですので、前もって、検診をうけるようにしてください。なるべく心に余裕ができるよう心がけましょう。
ストレス軸,ストレス軸の時期は、ストレスやプレッシャーを感じることが増え、精神的に辛くなりやすい時期です。ストレスの主な原因は人間関係や仕事面によるものが多いでしょう。この時期を上手に乗り切るには、心理カウンセリングを受けたり、旅行に行くなど気分転換をはかると良いですよ。
執着軸,執着軸の時期は、やりたいことがあるのに体力や精神力が充分でないために実現しずらく、心が不安定になりやすい時期です。お金や地位などに執着しないようにこの時期は心がけて！この時期はゆっくり温泉に行ったり、誰かにゆっくり話を聞いてもらうことをオススメします。もっと気楽になりましょう。恋愛についてはその時に交際している人への執着を感じたり、周りからの印象が暗く思われがちになります。この時期は、生活を見直して明るくふるまいましょう！
年上人脈軸,年上人脈軸は、年長者や上司、権力者に縁がある時期です。素直に年長者のアドバイスを受け入れるようにすれば、自身の成長だけでなく、運気アップにもつながります。年長者のアドバイスに対しては、たとえ小言のように思える内容であっても、尊敬心を持ち「聞く」ことに集中するようにしましょう！恋愛についてはお父さんのようなしっかりした人との出会いがありそうです。あなたにいろいろと小言のように助言してくると思いますが、それはあなたを愛してくれるからこそであり、末永く幸せになる出会いとなります。
別れ・孤立軸,別れ・孤立軸は、両親、親戚関係などの血縁関係とのお別れを暗示している時期です。別離にならないためにも、この軸が入っている半年前から、周りの血縁関係で、病気の方がいないかチェックをし、なるべく検診や治療をすることを勧めてみてください。恋愛についてはこの時期は、精神的に相手に対して距離をおいてしまいがちです。また、自分自身が人と接したくないという気持ちになりやすいので、明るい気持ちになるよう心がけてください。もし、この時期に出会っていたら半年後に冷静に相手を判断する必要があります。
大変革軸,大変革軸は、その名の通り、人生の中でも非常に大きな変化の時を迎えます。この変革をプラスに転がすか、マイナスに転がすかは、すべてあなた自身です。前もってこの時期がくることが分かる方は、事前に自分がどうすべきかを考え、準備し、信念を持って行動すると成功を掴むチャンスとなります！恋愛についてはあなたの人生、価値観を変えるような出会いがある時期です。今までなんとも思っていなかった人と急に恋愛に展開したり、逆にすごく好きだった人との価値観が変わり、やめてしまう可能性があります。この時期は、45年に1回のいい出会いの時期なので、じっくりと自分を見つめて相手選びをしてくださいね！金運については世欲や金銭欲が増し、社会的に認められたい、地位を上げたいという野望も膨らむ時でもあります。このままではいけない、変わりたい、ワンランク上の人生に進みたい、という思いが強くなることでしょう。
変化人脈軸,変化人脈軸は、あなたの価値観を覆されるような、これまでの人間関係とはガラッと異なる人脈に出会える時期です。彼らから得る新しい価値観を受け入れ行動すると、今後のあなたの人生にとってプラスに影響し、目標を持って人生を進むための大切な力となります。恋愛についてはあなたの才能・価値観を180度変えてくれる人との出会いがありそうです。その転換はあなたにとって、非常に有益であり人生の変化ともなります。その人との恋愛は時間をかけてじっくり育むような感じになります。
カルマ業病軸,カルマ業病軸は、精神面が不安定になり大きな病気になる可能性がある注意すべき時です。この時期が訪れる前に、人間ドッグで精密検査を受けたり、生活習慣を見直すよう普段から健康のことを気遣うように心がけましょう。思い切って長期旅行に出かけて、リラックスすることも有効です。恋愛についてはこの時期のあなたは恋愛のリハビリ状態です。あなたの今までの人間関係・価値観・行動から今後の恋愛について啓二を受ける時期です。人から見ると、暗いイメージになりやすいので、（3年前の軸）から原因を探り、なぜ今あなたの恋愛がうまくいってないのかを考えましょう。
スピリチュアル人脈軸,スピリチュアル人脈軸は、これまであまり出会ったことがなかった占い師や霊能力者など、精神に訴えかける力を持った人たちと多く出会うことになり、今までとは違う価値感を得ることができます。また哲学や宗教に興味を持ち、あなたの精神性が高まる暗示があります。
助言人脈軸,助言人脈軸は、自分に関わる人への理解や感謝の気持ちが深まる時期です。その影響で、親戚や家族との関係が強まったり、先祖に対する敬いの気持ちが生まれたりすることもあるでしょう。この時期は、先祖の墓参りや供養をすることで、運気が高まり精神が安定してツキが生まれます！
無軸,この時期のあなたは、運命の流れを表す軸がなにもない無軸の状態になります。そのために、この期間は、大抜擢や難問突破、夢の達成などといった派手な活躍は期待することができないでしょう。運気が良くもなく悪くもない時期ですので、自分磨きをし、次のチャンスを待ついい時期です。恋愛については残念ながら、運命の恋愛期とは今は違うようです。こういった時期は、人からの紹介など受身に恋愛を考えたり、あなたの恋愛に対する固定概念を変える時期でもあります。これからあなたにやって来る恋愛時期に備えての準備期間だと考えてください。
